"Meddržavne selitve po: SELITVE, DRŽAVA DRŽAVLJANSTVA, LETO , SPOL"

" ";" ";"2000";" ";"2001";" ";"2002";" ";"2003";" ";"2004";" ";"2005";" ";"2006";" ";"2007";" ";"2008";" ";"2009";" ";"2010";" ";"2011";" ";"2012";" ";"2013";" ";"2014";" ";"2015";" ";"2016";" "
" ";"  Avstrija";11;12;4;0;4;5;13;6;51;30;21;11;52;32;63;39;41;22;51;20;54;33;40;16;46;17;47;21;40;17;39;18;32;19
" ";"  Belgija";1;0;4;3;0;8;10;3;7;2;5;4;8;6;5;2;5;2;9;4;8;4;8;4;3;5;13;7;5;2;14;3;6;2
" ";"  Bolgarija";69;4;18;3;2;5;5;7;60;6;32;2;19;11;122;6;107;23;328;54;246;65;267;70;381;101;331;93;358;106;445;79;417;108
" ";"  Bosna in Hercegovina";289;49;523;182;987;336;419;211;1337;245;2191;160;3617;241;3656;602;2756;260;6150;508;3924;515;2267;359;1593;309;1068;319;1107;404;1137;416;1453;453
" ";"  Èeška republika";6;20;9;11;6;6;10;15;12;15;3;11;9;19;12;35;7;17;9;12;9;14;15;17;12;17;11;10;9;10;10;23;15;13
" ";"  Èrna gora";...;...;...;...;...;...;...;...;...;...;...;...;...;...;8;7;14;8;38;23;30;27;24;13;19;16;18;20;12;17;21;10;28;18
" ";"  Danska";0;0;4;1;0;0;8;3;9;3;2;1;5;3;11;4;0;0;5;3;3;1;4;2;0;1;3;1;1;0;8;2;3;2
" ";"  Francija";27;9;15;7;9;8;15;11;54;35;18;18;65;30;87;35;36;25;26;19;44;31;33;19;28;12;38;22;42;21;36;19;32;22
" ";"  Hrvaška";259;51;439;150;567;212;621;310;340;167;580;138;652;268;684;469;367;188;529;222;565;263;414;168;416;211;547;196;696;248;530;229;519;219
" ";"  Italija";30;11;36;25;12;3;1;1;25;18;20;2;63;24;111;49;101;36;123;50;110;61;116;64;115;62;138;63;186;77;176;82;235;90
" ";"  Kosovo";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;78;6;1381;182;1639;181;781;170;514;168;250;149;231;178;283;233;467;342
" ";"  Madžarska";1;3;9;1;14;12;10;10;10;13;3;5;56;12;5;21;22;16;35;17;24;13;64;17;21;12;28;27;38;24;56;17;68;26
" ";"  Makedonija";225;34;784;0;988;281;791;411;886;52;547;33;1109;110;1260;291;630;176;1477;243;1079;280;512;164;391;172;306;173;245;215;236;173;234;172
" ";"  Nemèija";10;13;25;4;2;0;11;10;78;43;8;2;65;35;112;63;73;54;70;53;90;46;50;46;58;34;72;52;51;31;72;40;40;25
" ";"  Nizozemska";4;2;11;8;5;4;15;5;16;5;7;0;9;10;16;7;16;9;8;4;17;8;15;2;8;3;17;1;5;1;5;1;5;6
" ";"  Poljska";1;5;32;1;2;2;5;10;8;10;43;4;79;38;53;26;26;17;27;20;23;17;10;11;14;23;22;20;26;16;56;13;9;9
" ";"  Romunija";11;18;31;4;0;1;20;11;87;48;189;103;176;110;98;40;22;24;79;32;18;30;37;24;38;24;35;21;124;23;96;18;57;28
" ";"  Ruska federacija";20;27;36;0;48;64;26;76;6;41;20;15;14;28;19;42;12;37;25;34;18;23;24;25;26;31;26;26;40;54;85;76;103;82
" ";"  Slovenija";806;753;743;699;1286;1338;952;935;1243;1022;982;1095;1315;1388;1523;1655;2316;2450;1984;1733;2064;1841;2510;2169;4214;3977;4059;3730;4376;3753;4691;3963;4685;4133
" ";"  Srbija";418;53;385;52;364;121;230;129;1165;137;1561;78;2796;199;2100;258;1171;222;1954;253;1028;227;483;148;392;127;521;165;641;207;596;202;546;161
" ";"  Švedska";3;0;2;0;4;1;6;4;7;3;0;0;11;1;20;13;7;2;6;5;11;7;14;4;9;4;10;8;7;3;12;6;6;1
" ";"  Švica";1;0;11;10;1;1;5;6;3;1;1;0;2;6;7;7;7;8;2;3;2;5;5;5;5;3;4;2;8;3;6;4;5;0
" ";"  Ukrajina";12;49;120;42;120;119;19;2;148;156;145;154;146;203;112;168;26;126;71;147;54;109;39;83;42;79;40;63;36;60;33;46;39;56
" ";"  Združeno kraljestvo";9;0;15;15;20;4;9;71;26;17;19;6;35;14;45;26;31;20;45;32;51;26;39;26;48;30;48;28;38;18;33;22;27;13
" ";"  Druge države Evrope";49;18;104;20;26;23;97;61;313;66;145;37;269;132;333;148;218;75;202;118;142;112;170;89;118;96;103;97;100;85;117;98;101;84
" ";"AFRIKA";6;0;10;1;9;1;15;0;9;3;8;6;9;4;11;17;11;3;14;8;16;12;23;7;21;6;25;7;25;8;22;6;30;12
" ";"AZIJA";16;21;29;38;72;44;68;68;72;24;49;38;73;57;121;107;36;42;79;77;120;119;118;86;109;70;75;77;108;90;94;88;102;81
" ";"JUŽNA AMERIKA";6;3;19;5;11;6;12;9;6;4;9;1;4;6;10;12;2;5;10;7;12;15;13;9;13;11;6;15;3;12;11;9;9;13
" ";"SEVERNA IN SREDNJA AMERIKA";22;19;26;20;7;44;26;25;28;15;25;20;50;35;72;87;34;34;53;72;43;80;37;51;36;49;35;59;37;36;43;35;47;45
" ";"  Kanada";3;1;3;1;0;0;2;2;0;1;2;1;6;7;4;6;6;3;7;7;5;5;3;1;4;5;6;3;3;0;2;2;3;4
" ";"  Združene države";19;17;21;17;7;42;14;12;24;13;20;8;40;18;63;62;25;17;36;28;26;16;27;17;20;19;22;26;30;22;34;24;34;32
" ";"  Druge države Severne in Srednje Amerike";0;1;2;2;0;2;10;11;4;1;3;11;4;10;5;19;3;14;10;37;12;59;7;33;12;25;7;30;4;14;7;9;10;9
" ";"AVSTRALIJA IN OCEANIJA";2;0;1;3;9;10;6;1;3;0;7;1;4;0;11;6;4;3;5;2;10;5;10;1;4;6;5;4;11;4;10;6;5;4
" ";"Neznana država";46;14;49;0;0;6;2;1;34;26;4;0;0;0;1;1;12;8;12;14;124;178;0;0;0;0;0;0;0;0;0;0;0;0

"Vir: Statistièni urad Republike Slovenije. "
" "
"Za leto 2008 in naprej so podatki pripravljeni skladno z definicijo "
"prebivalstva Slovenije, objavljeno leta 2008. "
" "
"Do konca leta 2007 so podatki o odseljenih tujih državljanih ocena "
"Statistiènega urada Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=9518 target=_blank) Metodološka pojasnila "

